model_id,downloads,likes,pipeline_tag,task_name,library_name,frameworks,license,arxiv,param_count,size_category,created_at,last_modified
distilbert/distilgpt2,2886683,634,text-generation,Text Generation,transformers,"pytorch, rust, safetensors, text-generation-inference, transformers",apache-2.0,1910.01108,88204032,<100M,2022-03-02T23:29:04.000Z,2024-02-19T11:09:53.000Z
Qwen/Qwen3-Coder-Next-FP8,2764738,162,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,,79679212800,50B-100B,2026-02-01T12:22:41.000Z,2026-02-03T14:13:28.000Z
nvidia/Gemma-4-31B-IT-NVFP4,2496292,538,text-generation,Text Generation,Model Optimizer,"Model Optimizer, safetensors",other,,20868591152,20B-50B,2026-04-02T16:47:30.000Z,2026-07-13T22:33:54.000Z
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2476170,1689,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,,1100048384,1B-5B,2023-12-30T06:27:30.000Z,2024-03-17T05:07:08.000Z
deepreinforce-ai/Ornith-1.0-9B-GGUF,2472061,545,text-generation,Text Generation,transformers,"gguf, transformers",mit,,,Unknown,2026-06-25T04:56:13.000Z,2026-06-25T14:12:12.000Z
ibm-granite/granite-4.1-8b,2443950,225,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,0000.00000,8791592960,5B-10B,2026-04-06T13:18:47.000Z,2026-05-04T17:36:29.000Z
antirez/deepseek-v4-gguf,2382019,335,text-generation,Text Generation,gguf,gguf,mit,,,Unknown,2026-04-26T07:54:05.000Z,2026-07-16T17:22:43.000Z
EleutherAI/pythia-160m,2377372,44,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",apache-2.0,2304.01373,212654688,100M-1B,2023-02-08T19:25:46.000Z,2023-07-09T15:52:09.000Z
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,2326676,393,text-generation,Text Generation,transformers,"pytorch, safetensors, transformers",other,2512.20848,67228556288,50B-100B,2026-03-10T18:33:04.000Z,2026-05-01T16:54:19.000Z
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,2302721,1081,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",mit,2501.12948,8190735360,5B-10B,2025-05-29T11:07:47.000Z,2025-05-29T13:13:34.000Z
HuggingFaceTB/SmolLM2-135M-Instruct,2286074,374,text-generation,Text Generation,transformers,"onnx, safetensors, text-generation-inference, transformers",apache-2.0,2502.02737,134515008,100M-1B,2024-10-31T13:41:10.000Z,2025-09-22T20:43:15.000Z
zai-org/GLM-4.7-Flash,2284141,1788,text-generation,Text Generation,transformers,"safetensors, transformers",mit,2508.06471,31221488576,20B-50B,2026-01-19T06:28:10.000Z,2026-01-29T08:06:19.000Z
Qwen/Qwen2.5-14B-Instruct-AWQ,2271386,37,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,14770033664,10B-20B,2024-09-17T13:55:22.000Z,2024-10-09T12:26:42.000Z
Qwen/Qwen3-14B-AWQ,2239749,71,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,14768307200,10B-20B,2025-05-01T10:46:38.000Z,2025-05-21T06:21:57.000Z
Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,2060627,37,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2409.12186,32763876352,20B-50B,2024-11-09T12:45:09.000Z,2024-11-18T12:55:21.000Z
meta-llama/Llama-3.2-3B-Instruct,2035147,2361,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3.2,2204.05149,3212749824,1B-5B,2024-09-18T15:19:20.000Z,2024-10-24T15:07:29.000Z
deepreinforce-ai/Ornith-1.0-35B-GGUF,1961336,939,text-generation,Text Generation,transformers,"gguf, transformers",mit,,,Unknown,2026-06-25T04:56:44.000Z,2026-07-18T03:15:03.000Z
farbodtavakkoli/OTel-LLM-8B-A1B-IT,1956507,0,text-generation,Text Generation,,pytorch,apache-2.0,,,Unknown,2026-06-17T18:28:34.000Z,2026-06-23T11:58:51.000Z
Qwen/Qwen3-32B-AWQ,1943992,136,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,32762123264,20B-50B,2025-05-01T10:38:33.000Z,2025-05-21T06:17:51.000Z
Qwen/Qwen2.5-Coder-7B-Instruct,1884608,760,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2409.12186,7615616512,5B-10B,2024-09-17T13:38:49.000Z,2025-01-12T02:03:41.000Z
Qwen/Qwen3-0.6B-FP8,1882938,62,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2505.09388,751659264,100M-1B,2025-04-28T12:26:36.000Z,2025-07-26T03:45:47.000Z
Qwen/Qwen3-30B-A3B-Instruct-2507,1872745,820,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2402.17463,30532122624,20B-50B,2025-07-28T07:31:27.000Z,2025-09-17T06:56:43.000Z
Qwen/Qwen2.5-0.5B,1851766,430,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2407.10671,494032768,100M-1B,2024-09-15T12:15:39.000Z,2024-09-25T12:32:36.000Z
meta-llama/Llama-3.2-1B,1840912,2500,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3.2,2204.05149,1235814400,1B-5B,2024-09-18T15:03:14.000Z,2024-10-24T15:08:03.000Z
ibm-research/PowerMoE-3b,1812518,22,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2408.13359,3374286336,1B-5B,2024-08-14T18:44:21.000Z,2024-09-24T22:04:31.000Z
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,1746190,4,text-generation,Text Generation,,safetensors,llama3.2,,1498859520,1B-5B,2024-09-25T19:49:29.000Z,2024-10-09T18:57:13.000Z
nvidia/diffusiongemma-26B-A4B-it-NVFP4,1742987,108,text-generation,Text Generation,,safetensors,apache-2.0,,14404786224,10B-20B,2026-06-10T16:00:45.000Z,2026-07-04T17:57:49.000Z
HuggingFaceTB/SmolLM2-135M,1667330,217,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2502.02737,134515008,100M-1B,2024-10-31T00:46:04.000Z,2025-02-06T10:34:41.000Z
meta-llama/Meta-Llama-3-8B-Instruct,1617716,4741,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3,,8030261248,5B-10B,2024-04-17T09:35:12.000Z,2025-06-18T23:49:51.000Z
apple/OpenELM-1_1B-Instruct,1612208,75,text-generation,Text Generation,transformers,"safetensors, transformers",apple-amlr,2404.14619,1079891456,1B-5B,2024-04-12T21:52:12.000Z,2025-02-28T18:31:24.000Z
google/gemma-3-270m,1589733,1053,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",gemma,2503.19786,268098176,100M-1B,2025-08-05T18:50:31.000Z,2025-08-14T07:35:01.000Z
nvidia/Qwen3.6-27B-NVFP4,1572648,383,text-generation,Text Generation,Model Optimizer,"Model Optimizer, safetensors",apache-2.0,,18164649200,10B-20B,2026-06-22T12:24:08.000Z,2026-06-30T14:40:07.000Z
meta-llama/Llama-3.1-8B,1566554,2336,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3.1,2204.05149,8030261248,5B-10B,2024-07-14T22:20:15.000Z,2024-10-16T22:00:37.000Z
Qwen/Qwen3-Coder-30B-A3B-Instruct,1547146,1170,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2505.09388,30532122624,20B-50B,2025-07-31T07:04:55.000Z,2025-12-03T08:05:17.000Z
deepseek-ai/DeepSeek-V4-Pro,1493095,5283,text-generation,Text Generation,transformers,"safetensors, transformers",mit,2606.19348,861608274846,100B+,2026-04-22T06:04:45.000Z,2026-06-22T12:12:50.000Z
zai-org/GLM-5-FP8,1471884,181,text-generation,Text Generation,transformers,"safetensors, transformers",mit,2602.15763,753910024032,100B+,2026-02-11T04:05:41.000Z,2026-04-05T07:51:12.000Z
meta-llama/Meta-Llama-3-8B,1471063,6612,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3,,8030261248,5B-10B,2024-04-17T09:35:16.000Z,2024-09-27T15:52:33.000Z
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,1444187,168,text-generation,Text Generation,transformers,"pytorch, safetensors, transformers",other,2512.20848,18237772608,10B-20B,2025-12-20T09:12:40.000Z,2026-03-15T04:27:10.000Z
nm-testing/SmolLM-1.7B-Instruct-quantized.w4a16,1416691,0,text-generation,Text Generation,,safetensors,apache-2.0,2210.17323,1837205840,1B-5B,2024-08-23T15:49:54.000Z,2024-10-09T20:00:05.000Z
deepreinforce-ai/Ornith-1.0-35B,1408701,428,text-generation,Text Generation,transformers,"safetensors, transformers",mit,,664944,<100M,2026-06-21T03:30:07.000Z,2026-06-25T14:30:28.000Z
prism-ml/Bonsai-27B-gguf,1404962,579,text-generation,Text Generation,llama.cpp,"gguf, llama.cpp",apache-2.0,,,Unknown,2026-07-04T00:24:38.000Z,2026-07-17T16:05:42.000Z
Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,1400681,191,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2505.09388,30533947392,20B-50B,2025-07-31T08:14:11.000Z,2025-12-03T08:20:23.000Z
Qwen/Qwen2.5-Coder-32B-Instruct,1380590,2083,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2409.12186,32763876352,20B-50B,2024-11-06T07:49:50.000Z,2025-01-12T02:02:22.000Z
nvidia/GLM-5.2-NVFP4,1356729,276,text-generation,Text Generation,Model Optimizer,"Model Optimizer, safetensors",mit,,380989135104,100B+,2026-06-22T19:55:57.000Z,2026-06-26T23:49:20.000Z
nvidia/Gemma-4-26B-A4B-NVFP4,1337797,120,text-generation,Text Generation,Model Optimizer,"Model Optimizer, safetensors",apache-2.0,,14386941232,10B-20B,2026-05-01T01:26:06.000Z,2026-05-11T15:58:52.000Z
google/gemma-3-270m-it,1322991,606,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",gemma,2503.19786,268098176,100M-1B,2025-07-30T18:06:27.000Z,2025-08-14T07:35:07.000Z
openai-community/gpt2-large,1300239,355,text-generation,Text Generation,transformers,"onnx, pytorch, rust, safetensors, text-generation-inference, transformers",mit,1910.09700,811778816,100M-1B,2022-03-02T23:29:04.000Z,2024-02-19T11:11:02.000Z
deepseek-ai/DeepSeek-V2-Lite-Chat,1267996,144,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",other,2405.04434,15706484224,10B-20B,2024-05-15T05:34:09.000Z,2024-06-25T08:36:27.000Z
sshleifer/tiny-gpt2,1245714,36,text-generation,Text Generation,transformers,"pytorch, text-generation-inference, transformers",,,,Unknown,2022-03-02T23:29:05.000Z,2021-05-23T12:55:11.000Z
Qwen/Qwen2-0.5B,1240675,169,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,,494032768,100M-1B,2024-05-31T08:38:11.000Z,2024-10-22T13:47:30.000Z
QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,1231736,43,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2505.09388,31070754032,20B-50B,2025-10-04T05:17:19.000Z,2025-10-08T14:25:49.000Z
nvidia/DeepSeek-V4-Flash-NVFP4,1228799,72,text-generation,Text Generation,Model Optimizer,"Model Optimizer, safetensors",mit,,166726476754,100B+,2026-05-18T00:02:10.000Z,2026-06-15T01:14:07.000Z
meta-llama/Llama-3.1-70B-Instruct,1225350,931,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3.1,2204.05149,70553706496,50B-100B,2024-07-16T16:07:46.000Z,2024-12-15T01:55:33.000Z
Qwen/Qwen2.5-72B-Instruct-AWQ,1208526,78,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",other,2309.00071,72957861888,50B-100B,2024-09-17T13:56:58.000Z,2024-10-09T12:27:10.000Z
h2oai/h2ovl-mississippi-800m,1196342,40,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2410.13611,826295808,100M-1B,2024-10-16T23:14:07.000Z,2026-07-16T05:07:17.000Z
h2oai/h2ovl-mississippi-2b,1175710,43,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2410.13611,2152317440,1B-5B,2024-10-15T18:15:29.000Z,2026-07-16T05:07:36.000Z
deepseek-ai/DeepSeek-V3,1155192,4102,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",,2412.19437,684531386000,100B+,2024-12-25T12:52:23.000Z,2025-03-27T04:01:45.000Z
deepseek-ai/DeepSeek-V3.2,1150985,1457,text-generation,Text Generation,transformers,"safetensors, transformers",mit,,685396921376,100B+,2025-12-01T02:34:49.000Z,2025-12-01T11:04:59.000Z
tiiuae/falcon-7b,1137627,1104,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",apache-2.0,2205.14135,7217189760,5B-10B,2023-04-24T16:36:24.000Z,2024-10-12T13:20:18.000Z
TheBloke/TinyLlama-1.1B-Chat-v0.3-GPTQ,1135246,10,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,,1100454912,1B-5B,2023-10-03T11:01:00.000Z,2023-10-03T11:07:41.000Z
mistralai/Mistral-7B-Instruct-v0.2,1110943,3190,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",apache-2.0,2310.06825,7241732096,5B-10B,2023-12-11T13:18:44.000Z,2025-07-24T16:57:21.000Z
Qwen/Qwen2.5-Coder-7B,1047370,159,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2409.12186,7615616512,5B-10B,2024-09-16T11:57:24.000Z,2024-11-18T12:54:02.000Z
deepreinforce-ai/Ornith-1.0-9B,1023236,476,text-generation,Text Generation,transformers,"safetensors, transformers",mit,,1469680,<100M,2026-06-21T04:27:07.000Z,2026-06-25T14:08:32.000Z
Qwen/Qwen3-0.6B-Base,1019590,176,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2505.09388,596049920,100M-1B,2025-04-28T05:09:54.000Z,2025-07-26T03:45:42.000Z
RedHatAI/Qwen2.5-1.5B-quantized.w8a8,1003773,4,text-generation,Text Generation,,safetensors,apache-2.0,,1777733120,1B-5B,2024-10-09T14:51:45.000Z,2024-12-03T16:57:23.000Z
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16,995728,405,text-generation,Text Generation,transformers,"pytorch, safetensors, transformers",other,2512.20848,123611012096,100B+,2026-03-10T18:32:14.000Z,2026-04-29T16:15:40.000Z
Qwen/Qwen3-Coder-Next,974762,1543,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,,79674391296,50B-100B,2026-01-30T15:08:18.000Z,2026-02-03T16:16:38.000Z
microsoft/phi-2,968996,3492,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",mit,,2779683840,1B-5B,2023-12-13T21:19:59.000Z,2025-12-08T11:35:44.000Z
